2403313	CRIMINOLOGY       	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	POL3 	503  	AWW                          	                    	                    	                    	20 	16/01/2559 20:00
2403315	STAT SOC SCI RES  	3  	                                                                                	01/03/2559	1300-1500	11/05/2559	1300-1600	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	POL1 	107  	SCW                          	                    	                    	                    	75 	16/01/2559 20:00
2403321	ANTHROP RES METH  	3  	                                                                                	29/02/2559	0830-1030	17/05/2559	0830-1030	1  	LECT 	MO	  	  	  	  	  	  	0900-1200	POL3 	609  	CTT                          	                    	                    	                    	75 	16/01/2559 20:00
2403322	READ SOC/ANTHROP  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	MO	  	  	  	  	  	  	1300-1600	POL1 	202  	PSB                          	                    	                    	                    	75 	16/01/2559 20:00
2403324	SOC SCI RSRCH/DEV 	3  	                                                                                	29/02/2559	1300-1500	          	TDF      	1  	LECT 	MO	  	  	  	  	  	  	1300-1600	POL1 	103.A	SPY                          	                    	                    	                    	30 	16/01/2559 20:00
2403354	SOCIO ORG         	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TU	  	  	  	  	  	  	0900-1200	POL3 	503  	TPN                          	                    	                    	                    	20 	16/01/2559 20:00
2403355	SOC DEV PRAC      	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	0900-1000	POL1 	102  	JSN                          	                    	                    	                    	30 	16/01/2559 20:00
2403355	SOC DEV PRAC      	3  	                                                                                	          	         	          	TDF      	1  	FWK  	FR	  	  	  	  	  	  	1000-1200	POL1 	102  	JSN                          	                    	                    	                    	30 	16/01/2559 20:00
2403355	SOC DEV PRAC      	3  	                                                                                	          	         	          	TDF      	1  	FWK  	IA	  	  	  	  	  	  	IA-IA    	     	IA   	JSN                          	                    	                    	                    	30 	16/01/2559 20:00
2403356	COMP SOC SCI RES  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	POL1 	101  	SPY                          	                    	                    	                    	20 	16/01/2559 20:00
2403358	SOCIAL PROBLEMS   	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	POL1 	103.A	ULK                          	                    	                    	                    	20 	16/01/2559 20:00
2403359	SOC CONFLICT/PEACE	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	POL1 	102  	JUN                          	                    	                    	                    	20 	16/01/2559 20:00
2403401	SOCIO RELIG       	3  	                                                                                	29/02/2559	0830-1030	17/05/2559	0830-1030	1  	LECT 	MO	  	  	  	  	  	  	0900-1200	POL3 	607  	BCM                          	                    	                    	                    	75 	16/01/2559 20:00
2403405	IND SOCIO         	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	POL3 	503  	BCM,AWW                      	                    	                    	                    	30 	16/01/2559 20:00
2403406	SOC ID MUL CULT   	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	POL1 	205.B	NPP,STAFF                    	                    	                    	                    	15 	16/01/2559 20:00
2403408	POL SOCIO         	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	POL1 	205.B	NPP                          	                    	                    	                    	20 	16/01/2559 20:00
2403413	PERSP HUM RES DEV 	3  	                                                                                	          	         	          	TDF      	1  	LECT 	MO	  	  	  	  	  	  	1300-1600	POL3 	503  	BCM,SCW                      	                    	                    	                    	20 	16/01/2559 20:00
2403418	ETH GR REL TH SOC 	3  	                                                                                	04/03/2559	0830-1030	16/05/2559	0830-1030	1  	LECT 	FR	  	  	  	  	  	  	0900-1200	POL1 	107  	SAK                          	                    	                    	                    	75 	16/01/2559 20:00
2403471	ANTH RSRCH METH   	3  	                                                                                	29/02/2559	0830-1030	17/05/2559	0830-1030	1  	LECT 	MO	  	  	  	  	  	  	0900-1200	POL3 	609  	CTT                          	                    	                    	                    	20 	16/01/2559 20:00
2403480	SEM CONT SOC ISS  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	0900-1200	POL3 	514  	PSB                          	                    	                    	                    	20 	16/01/2559 20:00
2403491	INDIVIDUAL STUDIES	2  	                                                                                	          	         	          	TDF      	1  	LECT 	IA	  	  	  	  	  	  	IA-IA    	POL1 	IA   	STAFF                        	4TH YEAR ONLY       	INSTRUCTOR CONSENT  	                    	10 	16/01/2559 20:00
2403607	CRIM POL/JUS ADM  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	1800-2100	POL3 	615  	JUN                          	MASTER 'S CRIM      	                    	                    	15 	16/01/2559 20:00
