3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,6  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,TKS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,7  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,SSS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,8  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,AWN                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,9  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,CGT                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,TKP                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,10 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,WBR                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,11 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,SKK                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,12 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,PLS                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,13 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,TGC                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,14 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,STK                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,15 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,JTB                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,16 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,VKS                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,3  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,CCP                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,4  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,CIP                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,5  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,DCP                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,6  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,TKS                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,7  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,SSS                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,8  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,CGT                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,9  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,CMS                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,TKP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,10 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,WBR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,11 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,SKK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,12 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,PLS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,13 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,TGC                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,14 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,STK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,15 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,JTB                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,16 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,17 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,CLR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,VKS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,3  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,CCP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,4  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,CIP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,5  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,DSS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,6  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,TKS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,7  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,SSS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
