2800598,STG MGT MED COMM  ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1800-2100,MKSW ,312  ,WSK                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800611,MSG DGN PROD IC   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,312  ,PKY                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2800611,MSG DGN PROD IC   ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1800-2100,MKSW ,312  ,PKY                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2800612,INTERAC COMM MGT  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,302  ,SBC                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2800612,INTERAC COMM MGT  ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1800-2100,MKSW ,M05  ,SBC                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2800625,PHIL RHET         ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,M06  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800626,THEO INTPERS COMM ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MKSW ,411  ,MVK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2800629,ANAL ADV LANG COMM,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,411  ,PAC                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800646,INTL/INTCULT COMM ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,411  ,MVK                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800647,ADV NEG           ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,M06  ,RSP                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800650,CUR SOC ISS/COMM  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,M06  ,JST                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800656,SEL TOP SOC CULT I,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,706  ,JST                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800659,STRG COMM CAMPG   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,411  ,PSN                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800672,MED PLAN PROD DEV ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,M05  ,PKY,TTP                      ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2800676,PHIL AES COMM/ENT ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,411  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800681,RASA/BHAV IMG MED ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,M05  ,SPK,SSB                      ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2800683,SEL TOP AESCOMM I ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,SU,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,M05  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2800684,SEL TOP AESCOMM II,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SU,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,SSB,PSC                      ,                    ,                    ,                    ,10 ,16/01/2559 20:00
