2601114,COST ACCTG        ,3  ,2601113                                                                         ,04/03/2559,0830-1130,04/05/2559,1300-1600,3  ,L/T  ,WE,  ,  ,  ,  ,  ,  ,1000-1200,COM3 ,307  ,OCS                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601114,COST ACCTG        ,3  ,2601113                                                                         ,04/03/2559,0830-1130,04/05/2559,1300-1600,4  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,306  ,PCM                          ,ACCOUNTING          ,                    ,                    ,60 ,16/01/2559 20:00
2601114,COST ACCTG        ,3  ,2601113                                                                         ,04/03/2559,0830-1130,04/05/2559,1300-1600,4  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,0800-1000,COM3 ,108  ,PCM                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601115,FIN ACCTG         ,3  ,                                                                                ,29/02/2559,1040-1240,17/05/2559,1300-1600,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,204  ,DOP                          ,BUS ADMIN,STAT,BUSED,                    ,                    ,50 ,16/01/2559 20:00
2601115,FIN ACCTG         ,3  ,                                                                                ,29/02/2559,1040-1240,17/05/2559,1300-1600,1  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,1400-1600,COM3 ,204  ,DOP                          ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2601115,FIN ACCTG         ,3  ,                                                                                ,29/02/2559,1040-1240,17/05/2559,1300-1600,2  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-0900,COM1 ,317  ,SPH                          ,POL SCIENCE         ,                    ,                    ,50 ,16/01/2559 20:00
2601115,FIN ACCTG         ,3  ,                                                                                ,29/02/2559,1040-1240,17/05/2559,1300-1600,2  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,1300-1600,COM1 ,317  ,SPH                          ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2601116,INTMD ACCTG       ,3  ,2601115                                                                         ,29/02/2559,1300-1600,03/05/2559,0830-1130,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,COM3 ,205  ,PPC                          ,BUS ADMIN           ,                    ,                    ,60 ,16/01/2559 20:00
2601116,INTMD ACCTG       ,3  ,2601115                                                                         ,29/02/2559,1300-1600,03/05/2559,0830-1130,1  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,205  ,PPC                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601116,INTMD ACCTG       ,3  ,2601115                                                                         ,29/02/2559,1300-1600,03/05/2559,0830-1130,2  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,COM3 ,204  ,NKP                          ,BUS ADMIN           ,                    ,                    ,60 ,16/01/2559 20:00
