5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,120,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,205  ,STAFF                        ,VETERINARY          ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,120,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VET6 ,205  ,STAFF                        ,                    ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,121,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,206  ,STAFF                        ,VETERINARY          ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,121,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VET6 ,206  ,STAFF                        ,                    ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,122,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,B05  ,STAFF                        ,VETERINARY          ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,122,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VET6 ,B05  ,STAFF                        ,                    ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,123,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,B06  ,STAFF                        ,VETERINARY          ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,123,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VET6 ,B06  ,STAFF                        ,                    ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,124,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,609  ,STAFF                        ,DENTISTRY           ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,124,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,609  ,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,125,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,610  ,STAFF                        ,DENTISTRY           ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,125,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,610  ,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,126,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,715  ,STAFF                        ,DENTISTRY           ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,126,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,715  ,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,127,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,PHAIN,304  ,STAFF                        ,PHARM SCI           ,                    ,                    ,27 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,127,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PHAIN,304  ,STAFF                        ,                    ,                    ,                    ,27 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,128,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,PHAIN,306/1,STAFF                        ,PHARM SCI           ,                    ,                    ,27 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,128,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PHAIN,306/1,STAFF                        ,                    ,                    ,                    ,27 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,129,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,OSOT ,405  ,STAFF                        ,PHARM SCI           ,                    ,                    ,27 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,129,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,OSOT ,405  ,STAFF                        ,                    ,                    ,                    ,27 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,13 ,L/P  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,ENG3 ,204  ,STAFF                        ,ENGINEERING         ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,13 ,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,ENG3 ,204  ,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,130,L/P  ,WE,  ,  ,  ,  ,  ,  ,900-1200 ,PHAIN,304  ,STAFF                        ,PHARM CARE          ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,130,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PHAIN,304  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,131,L/P  ,WE,  ,  ,  ,  ,  ,  ,900-1200 ,PHAIN,306/1,STAFF                        ,PHARM CARE          ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,131,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PHAIN,306/1,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,132,L/P  ,WE,  ,  ,  ,  ,  ,  ,900-1200 ,OSOT ,405  ,STAFF                        ,PHARM CARE          ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,132,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,OSOT ,405  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,133,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,PINIT,1105 ,STAFF                        ,LAW                 ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,133,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,134,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,PINIT,1106 ,STAFF                        ,LAW                 ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,134,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,135,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,PINIT,1107 ,STAFF                        ,LAW                 ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,135,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,136,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,PINIT,1106 ,STAFF                        ,LAW                 ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,136,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PINIT,1106 ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,137,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,THEB ,901  ,STAFF                        ,LAW                 ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,137,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,138,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,THEB ,1005 ,STAFF                        ,LAW                 ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,138,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,139,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,THEB ,1205 ,STAFF                        ,LAW                 ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,139,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,THEB ,1205 ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,14 ,L/P  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,ENG3 ,205  ,STAFF                        ,ENGINEERING         ,                    ,                    ,33 ,16/01/2559 20:00
