2301231,INTRO THEORY EQN  ,3  ,                                                                                ,02/03/2559,0830-1130,02/05/2559,1300-1600,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-0900,TAB  ,221  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
2301231,INTRO THEORY EQN  ,3  ,                                                                                ,02/03/2559,0830-1130,02/05/2559,1300-1600,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1200,TAB  ,221  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
2301234,LINEAR ALGEBRA I  ,3  ,CO-REQ 2301102 OR 2301106 OR 2301108 OR 2301118                                 ,03/03/2559,0830-1130,11/05/2559,1300-1600,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1000-1200,TAB  ,220  ,STAFF                        ,COMP SCI            ,                    ,                    ,90 ,16/01/2559 20:00
2301234,LINEAR ALGEBRA I  ,3  ,CO-REQ 2301102 OR 2301106 OR 2301108 OR 2301118                                 ,03/03/2559,0830-1130,11/05/2559,1300-1600,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1100,TAB  ,220  ,STAFF                        ,                    ,                    ,                    ,90 ,16/01/2559 20:00
2301260,PROG TECH         ,4  ,2301171OR (2301170 & 2301172)                                                   ,04/03/2559,1300-1600,11/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1000-1200,MHMK ,206  ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2301260,PROG TECH         ,4  ,2301171OR (2301170 & 2301172)                                                   ,04/03/2559,1300-1600,11/05/2559,0830-1130,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1100-1200,MHMK ,206  ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2301260,PROG TECH         ,4  ,2301171OR (2301170 & 2301172)                                                   ,04/03/2559,1300-1600,11/05/2559,0830-1130,1  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,1500-1700,MATH ,509/2,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2301260,PROG TECH         ,4  ,2301171OR (2301170 & 2301172)                                                   ,04/03/2559,1300-1600,11/05/2559,0830-1130,2  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1000-1200,MHMK ,205  ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2301260,PROG TECH         ,4  ,2301171OR (2301170 & 2301172)                                                   ,04/03/2559,1300-1600,11/05/2559,0830-1130,2  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1100-1200,MHMK ,205  ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2301260,PROG TECH         ,4  ,2301171OR (2301170 & 2301172)                                                   ,04/03/2559,1300-1600,11/05/2559,0830-1130,2  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,1500-1700,MATH ,509/2,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
