2501318,ARCH DSGN V       ,4  ,2501316                                                                         ,02/03/2559,0900-1200,04/05/2559,0900-1200,6  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,704  ,PPT                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2501318,ARCH DSGN V       ,4  ,2501316                                                                         ,02/03/2559,0900-1200,04/05/2559,0900-1200,7  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,704  ,WPD                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2501318,ARCH DSGN V       ,4  ,2501316                                                                         ,02/03/2559,0900-1200,04/05/2559,0900-1200,8  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,704  ,CWK                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2501318,ARCH DSGN V       ,4  ,2501316                                                                         ,02/03/2559,0900-1200,04/05/2559,0900-1200,9  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,704  ,SIS,STAFF                    ,                    ,                    ,                    ,13 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,     ,AR   ,CWK,PSY,WPD                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,1  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,PSY                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,10 ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,     ,AR   ,PSY,CWK,WPD                  ,TA                  ,                    ,                    ,15 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,10 ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,     ,AR   ,PYW,NKM                      ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,     ,AR   ,CWK,PSY,WPD                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,2  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,     ,AR   ,CWK                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,3  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,     ,AR   ,CWK,PSY,WPD                  ,AR,IA               ,                    ,                    ,20 ,16/01/2559 20:00
2501331,BLDG TECH/CONS II ,4  ,2501231                                                                         ,03/03/2559,1300-1600,04/05/2559,1300-1600,3  ,STU  ,TH,  ,  ,  ,  ,  ,  ,1300-1700,     ,AR   ,KSR                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
