2201394,FOLKLORE          ,3  ,                                                                                ,          ,         ,13/05/2559,1300-1600,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,BRK  ,510  ,PJW                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2201396,FOLKTALE          ,3  ,                                                                                ,          ,         ,03/05/2559,0830-1130,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,511  ,PJW                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2201396,FOLKTALE          ,3  ,                                                                                ,          ,         ,03/05/2559,0830-1130,1  ,DISC ,TU,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,511  ,PJW                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2201414,ART THAI USAGE    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0930-1230,BRK  ,511  ,TCV                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2201435,THAI LANG PERIODS ,3  ,                                                                                ,          ,         ,16/05/2559,0830-1130,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,BRK  ,504  ,TJK                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2201447,SEM TH LANG       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,MO,  ,  ,  ,  ,  ,  ,0930-1230,MCS  ,40110,PPC                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2201473,PRINCE PARAMA     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1600,BRK  ,507  ,ASR                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2201592,INDEPT STUD II    ,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1400,     ,IA   ,SPS                          ,                    ,                    ,                    ,4  ,16/01/2559 20:00
2201592,INDEPT STUD II    ,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,IDPS ,FR,  ,  ,  ,  ,  ,  ,1400-1600,     ,IA   ,SPS                          ,                    ,                    ,                    ,4  ,16/01/2559 20:00
2201592,INDEPT STUD II    ,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,SPS                          ,                    ,                    ,                    ,4  ,16/01/2559 20:00
2201592,INDEPT STUD II    ,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0930-1030,     ,IA   ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
2201592,INDEPT STUD II    ,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,2  ,IDPS ,MO,  ,  ,  ,  ,  ,  ,1030-1230,     ,IA   ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
2201592,INDEPT STUD II    ,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
2201598,SR PROJ II        ,4  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,NPT                          ,                    ,                    ,                    ,2  ,16/01/2559 20:00
2201611,TH DIALECT        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0930-1230,MCS  ,401/6,MSS                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2201665,TH LIT SPEC GENRE ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0930-1230,MCS  ,40112,NPD                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2201666,MASTERPIECE TH LIT,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-1100,BRK  ,508  ,CRK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2201668,TH LIT REL        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,MCS  ,40112,TJT                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2201668,TH LIT REL        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TH,  ,  ,  ,  ,  ,  ,1500-1600,MCS  ,40112,TJT                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2201731,SEM TH LANG       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0930-1230,MCS  ,601/2,MSS                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2201783,PRAG ANAL TH      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,BRK  ,613  ,NPT                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2201783,PRAG ANAL TH      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,TU,  ,  ,  ,  ,  ,  ,1500-1600,BRK  ,613  ,NPT                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2201784,SEM MASS LANG     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-0900,MCS  ,60112,TCV                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2201784,SEM MASS LANG     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,WE,  ,  ,  ,  ,  ,  ,0900-1100,MCS  ,60112,TCV                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2201791,SPECIAL RESEARCH  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2201811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2201828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2201843,SEM JATAKA LIT    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,MCS  ,401/8,ASR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2201843,SEM JATAKA LIT    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1500-1600,MCS  ,401/8,ASR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2201894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,BRK  ,708  ,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
2201896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2201897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,1  ,L/T  ,WE,  ,  ,  ,  ,  ,  ,1100-1230,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,23 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,1  ,TUT  ,TU,  ,  ,  ,  ,  ,  ,0800-0930,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,23 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,1  ,TUT  ,TH,  ,  ,  ,  ,  ,  ,1100-1300,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,23 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,10 ,L/T  ,WE,  ,  ,  ,  ,  ,  ,1100-1230,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,10 ,TUT  ,TU,  ,  ,  ,  ,  ,  ,0800-0930,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,10 ,TUT  ,TH,  ,  ,  ,  ,  ,  ,1100-1300,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,11 ,L/T  ,WE,  ,  ,  ,  ,  ,  ,1100-1230,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,11 ,TUT  ,TU,  ,  ,  ,  ,  ,  ,0800-0930,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,11 ,TUT  ,TH,  ,  ,  ,  ,  ,  ,1100-1300,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,12 ,L/T  ,WE,  ,  ,  ,  ,  ,  ,1100-1230,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,12 ,TUT  ,TU,  ,  ,  ,  ,  ,  ,0800-0930,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,12 ,TUT  ,TH,  ,  ,  ,  ,  ,  ,1100-1300,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,13 ,L/T  ,WE,  ,  ,  ,  ,  ,  ,1100-1230,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,13 ,TUT  ,TU,  ,  ,  ,  ,  ,  ,0800-0930,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,13 ,TUT  ,TH,  ,  ,  ,  ,  ,  ,1100-1300,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,14 ,L/T  ,WE,  ,  ,  ,  ,  ,  ,1100-1230,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2202112,ENGLISH II        ,3  ,COREQ 2202111                                                                   ,          ,         ,03/05/2559,0830-1130,14 ,TUT  ,TU,  ,  ,  ,  ,  ,  ,0800-0930,BRK  ,AR   ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
