2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,20 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,WSN                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,21 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,YSF                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,ACC                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,SMC                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,SSR                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,PTR                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,7  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,WIA                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,8  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,ATS                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,9  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,AMN                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,10 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,ONT                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,11 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,YSF                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,12 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,RMS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,13 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,YKK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,14 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,PKK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,15 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,SCK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,16 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,CTY                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,17 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,RCC                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,18 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,PMR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,19 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,WWW                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,STT                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,20 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,WSN                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,21 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,YSF                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,3  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,ACC                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,SMC                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,5  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,SSR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716791,INDIV STUDY III   ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,PTR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
